year,ncessch,school_name,state_location,lea_name,school_level,school_type,charter,enrollment
"2018","240042000719","Atholton High","MD","Howard County Public Schools","High","Regular school","No","1504"
"2018","240009001387","Augusta Fells Savage Institute of Visual Arts","MD","Baltimore City Public Schools","High","Regular school","No","419"
"2018","240051000972","Avalon Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","347"
"2018","240051000973","Baden Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","244"
"2018","240024000556","Bainbridge Elementary","MD","Cecil County Public Schools","Primary","Regular school","No","287"
"2018","240039000680","Bakerfield Elementary","MD","Harford County Public Schools","Primary","Regular school","No","427"
"2018","240033090471","Ballenger Creek Elementary","MD","Frederick County Public Schools","Primary","Regular school","No","650"
"2018","240033090446","Ballenger Creek Middle","MD","Frederick County Public Schools","Middle","Regular school","No","840"
"2018","240009000150","Baltimore City College","MD","Baltimore City Public Schools","High","Regular school","No","1363"
"2018","240009001736","Baltimore Collegiate School for Boys","MD","Baltimore City Public Schools","Middle","Regular school","Yes","477"
"2018","240012001341","Baltimore County Home & Hospital","MD","Baltimore County Public Schools","Ungraded","Other/alternative school","No","0"
"2018","240009001703","Baltimore Design School","MD","Baltimore City Public Schools","High","Regular school","No","516"
"2018","240012000344","Baltimore Highlands Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","553"
"2018","240009001631","Baltimore International Academy","MD","Baltimore City Public Schools","Primary","Regular school","Yes","707"
"2018","240009001682","Baltimore Leadership School for Young Women","MD","Baltimore City Public Schools","High","Regular school","Yes","539"
"2018","240009001657","Baltimore Montessori Public Charter School","MD","Baltimore City Public Schools","Primary","Regular school","Yes","444"
"2018","240009000151","Baltimore Polytechnic Institute","MD","Baltimore City Public Schools","High","Regular school","No","1593"
"2018","240009001391","Baltimore School for the Arts","MD","Baltimore City Public Schools","High","Regular school","No","440"
"2018","240009001733","Banneker Blake Academy for Arts and Sciences","MD","Baltimore City Public Schools","Middle","Regular school","Yes","201"
"2018","240048000779","Bannockburn Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","440"
"2018","240051001697","Barack Obama Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","766"
"2018","240066001674","Barbara Ingram School for the Arts","MD","Washingtion County Public Schools","High","Regular school","No","297"
"2018","240009000152","Barclay Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","No","479"
"2018","240009001735","Bard High School Early College","MD","Baltimore City Public Schools","High","Regular school","No","482"
"2018","240051000974","Barnaby Manor Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","474"
"2018","240015001655","Barstow Elementary","MD","Calvert County Public Schools","Primary","Regular school","No","613"
"2018","240012000345","Battle Grove Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","355"
"2018","240012000346","Battle Monument School","MD","Baltimore County Public Schools","Other","Special education school","No","73"
"2018","240024000557","Bay View Elementary","MD","Cecil County Public Schools","Primary","Regular school","No","513"
"2018","240009000154","Bay-Brook Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","No","394"
"2018","240048001747","Bayard Rustin Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","600"
"2018","240054000202","Bayside Elementary School","MD","Queen Annes County Public Schools","Primary","Regular school","No","438"
"2018","240012001711","BCDC Educational Center","MD","Baltimore County Public Schools","High","Other/alternative school","No","30"
"2018","240015000505","Beach Elementary","MD","Calvert County Public Schools","Primary","Regular school","No","530"
"2018","240051000975","Beacon Heights Elementary","MD","Prince Georges County Public Schools","Primary","Regular school","No","480"
"2018","240048000947","Beall Elementary","MD","Montgomery County Public Schools","Primary","Regular school","No","572"
"2018","240003000003","Beall Elementary","MD","Allegany County Public Schools","Primary","Regular school","No","452"
"2018","240012000347","Bear Creek Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","498"
"2018","240069001298","Beaver Run School","MD","Wicomico County Public Schools","Primary","Regular school","No","598"
"2018","240012000348","Bedford Elementary","MD","Baltimore County Public Schools","Primary","Regular school","No","312"
"2018","240009000155","Beechfield Elementary/Middle","MD","Baltimore City Public Schools","Primary","Regular school","No","593"
"2018","240039000681","Bel Air Elementary","MD","Harford County Public Schools","Primary","Regular school","No","507"
